Unnamed: 0,name,company,year,Price,kms_driven,fuel_type
249,Mini Cooper S,Mini,2013,1891111,13000,Petrol
471,Tata Indigo CS,Tata,2015,123000,100000,Diesel
347,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
306,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
673,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
82,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
155,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel
591,Tata Indigo eCS,Tata,2016,230000,104000,Diesel
551,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol
694,Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel
488,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
451,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel
305,Honda Accord,Honda,2009,175000,58559,Petrol
140,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol
493,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
228,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel
621,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
57,Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol
457,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
658,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel
791,Chevrolet Beat LS,Chevrolet,2014,189000,31000,Diesel
851,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol
747,Honda City 1.5,Honda,2005,95000,41000,Petrol
782,Hyundai Eon Magna,Hyundai,2017,300000,1600,Petrol
313,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel
403,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol
62,Tata Indigo eCS,Tata,2017,200000,130000,Diesel
622,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel
400,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
205,Tata Sumo Victa,Tata,2012,285000,65000,Diesel
468,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol
472,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
569,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol
563,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel
264,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
275,Renault Kwid RXT,Renault,2018,325000,15000,Petrol
323,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel
94,BMW 3 Series,BMW,2011,600000,60500,Petrol
348,Hyundai i20,Hyundai,2014,449999,23000,Petrol
189,Mini Cooper S,Mini,2013,1891111,13000,Petrol
436,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel
386,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol
420,Renault Duster 85,Renault,2015,715000,65000,Diesel
165,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel
72,Honda City,Honda,2015,448999,54000,Petrol
888,Tata Zest XM,Tata,2018,260000,27000,Diesel
136,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
46,Honda City,Honda,2015,499999,55000,Petrol
73,Mini Cooper S,Mini,2013,1891111,13000,Petrol
674,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol
505,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
330,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel
794,Hyundai Eon D,Hyundai,2013,170000,20000,Petrol
142,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel
86,Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,Diesel
172,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
171,Honda City 1.5,Honda,2014,549000,39000,Petrol
30,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
435,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel
202,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
340,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel
554,BMW X1 xDrive20d,BMW,2011,1150000,72000,Diesel
506,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
143,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel
445,BMW 5 Series,BMW,2011,1299000,49000,Diesel
476,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
147,Renault Duster,Renault,2014,449999,50000,Diesel
504,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
8,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel
558,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel
